,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Mode
255,9.29,-0.82,2.26,-0.25,-0.04,0.06,0.0
256,10.26,-1.39,2.48,-0.86,0.2,-0.25,0.0
257,9.37,0.04,2.36,-0.94,-0.02,-0.08,0.0
258,10.77,-0.06,2.56,-0.32,0.14,0.15,0.0
259,11.14,-0.93,1.18,-0.28,-0.11,-0.05,0.0
260,9.03,-0.95,2.23,-0.32,0.12,0.09,0.0
261,10.72,-1.17,3.15,-0.83,0.02,-0.17,0.0
262,9.71,-0.37,2.68,-0.86,0.0,-0.12,0.0
263,10.71,0.06,2.21,-0.43,0.11,0.15,0.0
264,11.01,-0.99,0.91,-0.38,-0.16,-0.03,0.0
265,8.84,-1.16,1.83,-0.37,0.1,0.08,0.0
266,9.99,-1.47,2.78,-0.79,0.19,-0.22,0.0
267,9.44,-0.78,2.37,-0.85,0.03,-0.1,0.0
268,10.59,0.19,2.54,-0.33,0.16,0.09,0.0
269,11.25,-0.74,0.98,-0.23,-0.38,-0.04,0.0
270,9.74,-0.58,2.35,-0.25,0.14,0.04,0.0
271,10.07,-1.27,1.93,-0.85,0.17,-0.11,0.0
272,11.0,-0.4,1.38,-1.06,-0.16,-0.06,0.0
273,11.25,0.2,2.27,-0.31,0.05,0.19,0.0
274,10.81,-0.88,1.14,-0.23,-0.14,-0.04,0.0
275,9.4,-0.9,2.13,-0.25,0.08,0.08,0.0
276,11.17,-0.82,2.36,-0.85,0.1,-0.15,0.0
277,11.07,-0.12,1.44,-1.13,-0.14,-0.08,0.0
278,10.15,-0.21,2.57,-0.87,0.04,-0.09,0.0
279,10.94,-1.06,1.83,-0.41,-0.16,0.02,0.0
280,9.43,-1.57,2.69,-0.62,0.0,-0.15,0.0
281,9.35,-0.73,2.84,-0.8,0.25,-0.07,0.0
282,10.51,-0.11,2.88,-0.35,-0.02,0.07,0.0
283,10.89,-0.38,2.38,-0.47,-0.01,0.07,0.0
284,11.39,-0.37,1.2,-0.51,-0.13,-0.1,0.0
285,8.98,-0.95,2.26,-0.36,0.2,0.02,0.0
286,10.53,-1.11,2.77,-0.71,0.17,-0.16,0.0
287,11.18,-0.28,1.38,-1.18,-0.16,-0.1,0.0
288,9.48,-0.65,2.6,-0.8,0.05,-0.09,0.0
289,10.68,0.34,2.97,-0.27,0.15,0.19,0.0
290,11.23,-0.89,1.28,-0.35,-0.21,-0.04,0.0
291,9.76,-1.02,2.44,-0.35,0.16,0.03,0.0
292,10.46,-1.35,2.68,-0.81,0.08,-0.23,0.0
293,9.72,-0.16,2.66,-0.95,0.01,-0.13,0.0
294,10.72,-0.07,2.86,-0.32,0.16,0.2,0.0
295,9.0,-1.16,2.12,-0.38,0.16,0.09,0.0
296,10.48,-1.24,3.12,-0.8,0.07,-0.15,0.0
297,11.14,-0.69,1.43,-0.86,-0.16,-0.06,0.0
298,9.11,-0.45,2.62,-0.83,0.14,-0.05,0.0
299,11.03,-0.19,2.63,-0.32,0.11,0.13,0.0
300,10.91,-0.89,1.0,-0.49,-0.18,-0.09,0.0
301,9.16,-1.0,1.92,-0.64,0.21,0.09,0.0
302,10.83,-1.32,2.14,-0.86,-0.1,-0.17,0.0
303,11.19,-0.33,1.12,-0.67,-0.17,-0.07,0.0
304,9.45,-0.51,2.15,-0.6,0.07,-0.06,0.0
305,10.73,0.03,1.92,-0.45,-0.05,0.07,0.0
306,11.2,-0.25,1.16,-0.78,0.08,0.03,0.0
307,11.29,-0.5,0.94,-0.53,-0.2,0.0,0.0
308,9.33,-0.74,2.06,-0.54,0.2,-0.0,0.0
309,10.61,-1.4,2.36,-0.8,0.05,-0.17,0.0
310,10.05,-0.36,2.49,-0.55,0.01,-0.07,0.0
311,10.86,0.0,2.67,-0.3,0.04,0.07,0.0
312,11.17,0.44,2.19,-0.69,0.08,-0.02,0.0
313,8.92,-0.76,2.19,-0.64,0.14,-0.06,0.0
314,10.65,-1.0,3.4,-0.79,0.04,-0.15,0.0
315,10.8,-0.25,1.23,-0.78,-0.14,-0.04,0.0
316,9.25,-0.23,2.55,-0.71,0.0,-0.07,0.0
317,10.68,0.04,2.71,-0.44,0.08,0.14,0.0
318,9.14,-0.66,2.13,-0.55,0.19,0.0,0.0
319,10.6,-1.24,2.86,-0.81,0.17,-0.13,0.0
320,11.7,-0.96,1.94,-0.38,-0.06,-0.07,0.0
321,11.18,-0.61,1.2,-0.71,-0.23,0.02,0.0
322,9.39,-0.26,2.44,-0.66,0.03,-0.03,0.0
323,10.35,0.16,3.21,-0.4,0.22,0.14,0.0
324,11.24,-0.27,2.15,-0.78,-0.01,-0.08,0.0
