,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Mode
634,9.88,0.15,3.36,-0.66,0.04,-0.09,2.0
635,9.95,0.69,2.84,-0.52,-0.09,0.01,2.0
636,9.96,0.75,2.71,-0.53,-0.21,0.02,2.0
637,9.86,0.75,2.5,-0.54,-0.31,0.02,2.0
638,9.9,0.51,2.56,-0.58,-0.02,-0.0,2.0
639,10.03,0.6,2.08,-0.6,0.06,-0.01,2.0
640,9.67,0.49,3.45,-0.63,0.18,-0.02,2.0
641,9.62,0.52,3.85,-0.58,0.14,-0.02,2.0
642,9.46,0.7,4.44,-0.59,0.3,-0.03,2.0
643,9.29,0.6,4.81,-0.59,0.12,-0.01,2.0
644,9.2,0.57,4.83,-0.62,0.03,-0.02,2.0
645,9.74,0.47,3.77,-0.62,-0.22,-0.02,2.0
646,9.62,0.41,3.68,-0.61,-0.28,-0.02,2.0
647,9.79,0.5,3.59,-0.57,-0.29,-0.04,2.0
648,9.81,0.61,3.2,-0.6,-0.3,-0.06,2.0
649,9.9,0.66,2.66,-0.6,0.16,-0.06,2.0
650,9.7,0.48,3.98,-0.6,-0.25,-0.01,2.0
651,9.57,0.43,3.84,-0.59,-0.26,-0.01,2.0
652,9.66,0.5,3.52,-0.58,-0.25,-0.01,2.0
653,9.77,0.45,3.59,-0.55,-0.18,-0.01,2.0
654,11.68,0.56,2.6,-0.61,-0.06,0.01,2.0
655,9.88,0.6,2.76,-0.55,-0.11,-0.05,2.0
656,9.93,0.56,2.78,-0.64,-0.02,-0.02,2.0
657,9.96,0.45,2.58,-0.66,-0.05,-0.03,2.0
658,9.62,0.7,4.01,-0.62,0.33,-0.06,2.0
659,9.49,0.62,4.29,-0.67,0.21,0.0,2.0
660,9.38,0.62,4.56,-0.63,0.12,0.01,2.0
661,9.77,0.45,3.25,-0.61,-0.13,0.01,2.0
662,9.66,0.38,3.24,-0.6,-0.23,0.01,2.0
663,10.07,0.38,2.82,-0.63,-0.31,-0.07,2.0
664,9.91,0.45,3.28,-0.61,-0.03,-0.02,2.0
665,9.99,0.44,2.69,-0.63,-0.02,-0.03,2.0
666,9.88,0.46,2.76,-0.59,0.09,-0.03,2.0
667,9.84,0.54,2.86,-0.56,0.07,-0.03,2.0
668,9.5,0.6,4.27,-0.63,0.14,-0.08,2.0
669,9.48,0.3,4.12,-0.65,-0.0,-0.0,2.0
670,9.6,0.46,3.2,-0.61,0.07,-0.02,2.0
671,9.76,0.54,3.4,-0.59,0.09,0.0,2.0
672,9.81,0.51,3.04,-0.59,0.07,-0.03,2.0
673,10.01,0.59,3.0,-0.57,0.23,-0.02,2.0
674,9.49,0.51,4.24,-0.63,0.03,-0.04,2.0
675,9.92,0.26,3.23,-0.62,-0.08,-0.01,2.0
676,9.55,0.67,4.7,-0.66,0.26,-0.05,2.0
677,9.55,0.56,3.75,-0.61,-0.35,0.01,2.0
678,9.53,0.36,3.68,-0.63,-0.24,0.05,2.0
679,9.71,0.36,3.7,-0.64,-0.03,-0.01,2.0
680,9.78,0.4,3.18,-0.63,-0.05,-0.01,2.0
681,9.66,0.35,3.58,-0.61,0.09,-0.01,2.0
682,9.67,0.16,3.49,-0.66,0.33,-0.05,2.0
683,9.2,0.24,4.84,-0.62,0.36,-0.03,2.0
684,9.3,0.27,5.05,-0.58,0.23,-0.02,2.0
685,9.08,0.34,4.94,-0.55,0.15,-0.02,2.0
686,9.6,0.28,3.88,-0.55,-0.41,0.02,2.0
687,9.73,0.23,3.43,-0.56,-0.37,-0.01,2.0
688,9.72,0.25,3.28,-0.6,-0.24,-0.01,2.0
689,9.56,0.49,4.24,-0.6,0.19,-0.02,2.0
690,9.12,0.4,5.02,-0.63,0.15,-0.04,2.0
691,9.52,0.36,4.02,-0.61,-0.46,0.02,2.0
692,9.73,0.32,3.39,-0.59,-0.21,0.02,2.0
693,9.67,0.19,3.15,-0.58,-0.05,-0.02,2.0
694,9.81,0.31,3.31,-0.61,0.0,-0.03,2.0
695,9.26,0.49,5.19,-0.58,0.34,-0.05,2.0
696,9.56,0.6,4.19,-0.61,-0.2,-0.02,2.0
697,9.56,0.47,4.15,-0.62,-0.33,0.01,2.0
698,9.6,0.5,3.75,-0.58,-0.25,0.01,2.0
699,9.7,0.4,3.85,-0.59,-0.12,-0.02,2.0
700,9.81,0.35,3.29,-0.59,0.05,-0.01,2.0
701,8.98,0.64,5.82,-0.61,0.14,0.03,2.0
702,9.55,0.42,4.4,-0.6,-0.1,0.01,2.0
703,9.46,0.51,4.38,-0.57,-0.11,0.03,2.0
704,9.55,0.46,4.07,-0.6,-0.06,-0.02,2.0
705,9.51,0.4,4.0,-0.56,-0.01,-0.01,2.0
706,8.75,0.52,5.77,-0.58,0.12,-0.0,2.0
707,9.15,0.51,4.67,-0.57,-0.41,0.05,2.0
