Time:381028, AccelX:9.33,AccelY:1.37,AccelZ:4.41, GyroX:-0.56,GyroY:0.10,GyroZ:-0.03
Time:381303, AccelX:9.38,AccelY:1.39,AccelZ:4.16, GyroX:-0.64,GyroY:-0.18,GyroZ:-0.06
Time:381400, AccelX:9.50,AccelY:1.41,AccelZ:4.01, GyroX:-0.66,GyroY:-0.17,GyroZ:-0.06
Time:381509, AccelX:9.50,AccelY:1.41,AccelZ:3.92, GyroX:-0.63,GyroY:-0.19,GyroZ:-0.05
Time:381565, AccelX:9.61,AccelY:1.47,AccelZ:3.78, GyroX:-0.63,GyroY:-0.18,GyroZ:-0.05
Time:381631, AccelX:9.59,AccelY:1.48,AccelZ:3.62, GyroX:-0.59,GyroY:-0.20,GyroZ:-0.04
Time:381708, AccelX:9.72,AccelY:1.48,AccelZ:3.54, GyroX:-0.58,GyroY:-0.16,GyroZ:-0.04
Time:381941, AccelX:9.73,AccelY:1.63,AccelZ:3.41, GyroX:-0.61,GyroY:-0.08,GyroZ:-0.03
Time:381966, AccelX:9.83,AccelY:1.53,AccelZ:3.14, GyroX:-0.60,GyroY:-0.06,GyroZ:-0.04
Time:385423, AccelX:9.30,AccelY:1.67,AccelZ:3.97, GyroX:-0.24,GyroY:-0.03,GyroZ:0.11
Time:385625, AccelX:9.30,AccelY:1.63,AccelZ:4.09, GyroX:-0.25,GyroY:-0.03,GyroZ:0.14
Time:387916, AccelX:9.12,AccelY:1.38,AccelZ:4.30, GyroX:-1.10,GyroY:-0.07,GyroZ:-0.35
Time:389158, AccelX:9.64,AccelY:1.92,AccelZ:2.88, GyroX:-0.43,GyroY:-0.13,GyroZ:0.03
Time:389183, AccelX:9.55,AccelY:1.84,AccelZ:2.86, GyroX:-0.45,GyroY:-0.07,GyroZ:0.06
Time:389322, AccelX:9.77,AccelY:1.77,AccelZ:2.76, GyroX:-0.40,GyroY:0.02,GyroZ:0.10
Time:389503, AccelX:10.03,AccelY:1.42,AccelZ:3.03, GyroX:-0.40,GyroY:0.14,GyroZ:0.08
Time:392918, AccelX:9.79,AccelY:1.82,AccelZ:3.18, GyroX:-0.56,GyroY:-0.14,GyroZ:-0.01
Time:392964, AccelX:9.86,AccelY:1.80,AccelZ:3.02, GyroX:-0.55,GyroY:-0.15,GyroZ:-0.01
Time:393093, AccelX:9.70,AccelY:1.91,AccelZ:2.84, GyroX:-0.60,GyroY:-0.07,GyroZ:0.01
Time:393420, AccelX:9.94,AccelY:1.52,AccelZ:2.45, GyroX:-0.59,GyroY:-0.08,GyroZ:0.08
Time:393434, AccelX:9.84,AccelY:1.47,AccelZ:2.58, GyroX:-0.60,GyroY:-0.08,GyroZ:0.07
Time:393459, AccelX:9.92,AccelY:1.52,AccelZ:2.42, GyroX:-0.60,GyroY:-0.07,GyroZ:0.06
Time:393536, AccelX:9.80,AccelY:1.44,AccelZ:2.37, GyroX:-0.60,GyroY:-0.05,GyroZ:0.03
Time:399156, AccelX:9.56,AccelY:0.97,AccelZ:3.85, GyroX:-0.50,GyroY:0.04,GyroZ:0.06
Time:402634, AccelX:9.32,AccelY:1.06,AccelZ:3.61, GyroX:-0.13,GyroY:0.05,GyroZ:0.22
Time:405820, AccelX:9.43,AccelY:0.78,AccelZ:3.97, GyroX:-0.31,GyroY:0.05,GyroZ:0.23
Time:406771, AccelX:9.20,AccelY:1.89,AccelZ:3.62, GyroX:-1.13,GyroY:-0.08,GyroZ:-0.34
Time:408272, AccelX:9.64,AccelY:1.07,AccelZ:3.81, GyroX:-0.07,GyroY:0.09,GyroZ:0.30
Time:410336, AccelX:9.38,AccelY:1.02,AccelZ:4.03, GyroX:0.09,GyroY:0.13,GyroZ:0.37
Time:411099, AccelX:10.59,AccelY:1.75,AccelZ:3.90, GyroX:-0.72,GyroY:0.00,GyroZ:-0.13
Time:411165, AccelX:8.80,AccelY:1.89,AccelZ:3.77, GyroX:-0.83,GyroY:-0.09,GyroZ:-0.23
Time:416442, AccelX:9.86,AccelY:1.30,AccelZ:3.18, GyroX:-0.70,GyroY:-0.14,GyroZ:-0.03
Time:416686, AccelX:9.78,AccelY:1.38,AccelZ:2.84, GyroX:-0.58,GyroY:-0.21,GyroZ:-0.06
Time:416752, AccelX:9.92,AccelY:1.48,AccelZ:2.66, GyroX:-0.57,GyroY:-0.21,GyroZ:-0.05
Time:416840, AccelX:9.91,AccelY:1.46,AccelZ:2.45, GyroX:-0.54,GyroY:-0.18,GyroZ:-0.05
Time:418341, AccelX:9.73,AccelY:1.38,AccelZ:3.26, GyroX:-0.63,GyroY:0.27,GyroZ:-0.06
Time:420176, AccelX:9.73,AccelY:1.50,AccelZ:3.36, GyroX:-0.48,GyroY:-0.15,GyroZ:0.00
Time:420315, AccelX:9.87,AccelY:1.68,AccelZ:3.04, GyroX:-0.50,GyroY:-0.06,GyroZ:-0.00
Time:420371, AccelX:9.79,AccelY:1.64,AccelZ:2.97, GyroX:-0.53,GyroY:-0.07,GyroZ:-0.00
Time:420490, AccelX:9.82,AccelY:1.41,AccelZ:2.86, GyroX:-0.46,GyroY:-0.03,GyroZ:0.05
Time:459431, AccelX:9.93,AccelY:1.53,AccelZ:3.00, GyroX:-0.49,GyroY:-0.05,GyroZ:0.01
Time:464843, AccelX:9.73,AccelY:1.43,AccelZ:2.84, GyroX:-0.42,GyroY:0.02,GyroZ:0.03
Time:465284, AccelX:9.88,AccelY:1.47,AccelZ:2.38, GyroX:-0.48,GyroY:-0.28,GyroZ:-0.02
Time:467098, AccelX:9.28,AccelY:1.70,AccelZ:3.75, GyroX:-0.61,GyroY:0.24,GyroZ:-0.06
Time:467247, AccelX:9.38,AccelY:1.44,AccelZ:4.05, GyroX:-0.66,GyroY:0.45,GyroZ:-0.06
Time:467595, AccelX:9.00,AccelY:1.38,AccelZ:5.11, GyroX:-0.57,GyroY:0.08,GyroZ:0.04
Time:469221, AccelX:8.93,AccelY:2.03,AccelZ:5.38, GyroX:-0.73,GyroY:0.64,GyroZ:-0.08
Time:469246, AccelX:9.53,AccelY:1.18,AccelZ:4.51, GyroX:-0.75,GyroY:0.21,GyroZ:0.01
